query_id,train_id,influence_score
liam__true_ctx_q16_r1,liam__n0,4313809.5
liam__true_ctx_q16_r1,liam__n1_r0,7432037.0
liam__true_ctx_q16_r1,liam__n1_r1,8585568.0
liam__true_ctx_q16_r1,liam__n1_r2,8313253.0
liam__true_ctx_q16_r1,liam__n2_r0,12464672.0
liam__true_ctx_q16_r1,liam__n2_r1,13981010.0
liam__true_ctx_q16_r1,liam__n2_r2,12739722.0
liam__true_ctx_q16_r1,liam__n4_r0,11928355.0
liam__true_ctx_q16_r1,liam__n4_r1,14645877.0
liam__true_ctx_q16_r1,liam__n4_r2,12256173.0
liam__true_ctx_q16_r1,liam__n8_r0,16696177.0
liam__true_ctx_q16_r1,liam__n8_r1,15044555.0
liam__true_ctx_q16_r1,liam__n8_r2,14186311.0
liam__true_ctx_q16_r1,liam__n16_r0,16198001.0
liam__true_ctx_q16_r1,liam__n16_r1,15925288.0
liam__true_ctx_q16_r1,liam__n16_r2,15475811.0
liam__true_ctx_q16_r2,liam__n0,4487581.0
liam__true_ctx_q16_r2,liam__n1_r0,8038944.0
liam__true_ctx_q16_r2,liam__n1_r1,9157649.0
liam__true_ctx_q16_r2,liam__n1_r2,8963795.0
liam__true_ctx_q16_r2,liam__n2_r0,13856988.0
liam__true_ctx_q16_r2,liam__n2_r1,15443838.0
liam__true_ctx_q16_r2,liam__n2_r2,13888485.0
liam__true_ctx_q16_r2,liam__n4_r0,13100236.0
liam__true_ctx_q16_r2,liam__n4_r1,15805338.0
liam__true_ctx_q16_r2,liam__n4_r2,13169007.0
liam__true_ctx_q16_r2,liam__n8_r0,18479500.0
liam__true_ctx_q16_r2,liam__n8_r1,16770901.0
liam__true_ctx_q16_r2,liam__n8_r2,15210763.0
liam__true_ctx_q16_r2,liam__n16_r0,17457516.0
liam__true_ctx_q16_r2,liam__n16_r1,17693902.0
liam__true_ctx_q16_r2,liam__n16_r2,16554157.0
